,user_location,text,Subjectivity,Polarity,Analysis
12,India,agency also released new information health care providers patients us shipped millions,0.45454545454545453,0.13636363636363635,Positive
131,India,approvals pfizerbiontech vaccine singapore approves pfizer covidvaccine expects first shots decemb,0.3333333333333333,0.25,Positive
154,United Kingdom,vaccine mean im gon na eventually wear proper bra agreement un,0.39375,-0.15625,Negative
159,India,pfizervaccine unlikely available india mass distribution read find pfizerbiontech,0.45,-0.04999999999999999,Negative
220,Canada,canadian firm acuitas heart pfizerbiontech vaccine great story ubcprez ubc helped early wi,0.48333333333333334,0.23333333333333336,Positive
278,England,big pharma best interests hold stock amp patients pfizervaccine pfizerbiontech,0.2,0.5,Positive
348,USA,utswnews starting covid vaccination program today socially distanced staff patiently waiting covidvaccine,0.08333333333333334,0.016666666666666666,Positive
402,England,delighted taxi driver today take gentleman early 90s gps covid vaccination part 1,0.5,0.39999999999999997,Positive
408,Canada,ready go joined fordnation launch covidvaccine pfizerbiontech clinic uhn incredible teamuhn,0.7,0.55,Positive
463,Canada,ready tomorrow starting ms quidangen first canadian receive covidvaccine uhn ready,0.35833333333333334,0.1625,Positive
536,India,breaking pfizerbiontech covid19 vaccine provokes serious allergic reaction usa,0.6666666666666666,-0.3333333333333333,Negative
551,United Kingdom,covid19 taken world know amp 2020 full many myths read help separat,0.525,0.425,Positive
577,India,canada alberta plans send covid19 teams hardhit areas edmonton calgary indiablooms first portal,0.3333333333333333,0.25,Positive
619,United Kingdom,beautiful summary rna vaccine works pfizerbiontech,1.0,0.85,Positive
654,Canada,since opening doors less 60hrs ago uhn covidvaccine clinic given 1100,0.06666666666666667,-0.16666666666666666,Negative
734,England,fda released positive analysis modernavaccine single dose might enough prevent covid19 si,0.41991341991341996,0.051948051948051945,Positive
760,India,safety questions pfizer vaccine raised alaskan suffers serious allergic reaction minutes taking dose,0.6833333333333333,-0.4666666666666667,Negative
761,USA,mrna vaccine pfizerbiontech displays heightened propensity initiate allergic reaction unknown orig,0.6,-0.1,Negative
823,India,seen many vaccine videos far havent seen anyone aspirating injecting isnt sm,0.75,0.3,Positive
877,Canada,icymi dr mark poznansky massgeneralnews joined mattgurney sxmmornings discuss latest process,0.9,0.5,Positive
921,USA,many people actually already got pfizerbiontech vaccine 6 days,0.3,0.25,Positive
957,India,nythealth much equity equitable distribution vaccine world seems people dev,0.2,0.2,Positive
1046,India,us nurse faint getting pfizerbiontechs covid19 vaccine shot covid19vaccine pfizerbiontech,1.0,-0.5,Negative
1054,India,im feeling dizzy us nurse faints getting pfizer covid vaccine shot nurse tennessee hospital faint,1.0,-0.5,Negative
1249,Canada,covid19 covid19usa covid19vaccine pfizerbiontech pfizer pfizer pfizercovid19vaccine thats good news,0.6000000000000001,0.7,Positive
1283,Canada,best christmas gift ever news workers 95year old grandmothers retirement home receiving,0.25,0.55,Positive
1343,Canada,adriandix jjhorgan gentlemen elected leaders read trainwreck serious severe sideef,0.6666666666666666,-0.3333333333333333,Negative
1389,India,pfizerbiontech moderna begin testing covid19 vaccines new coronavirusstrain,0.45454545454545453,0.13636363636363635,Positive
1450,India,singapore become asias first country receive delivery pfizerbiontech covid vaccine monday dece,0.3333333333333333,0.25,Positive
1467,India,singapore gets asias first pfizerbiontech coronavirus vaccine doses singapore pfizer pfizerbiontech covid19,0.3333333333333333,0.25,Positive
1481,India,us presidentelect joebiden received first course pfizerbiontech vaccine christianacare hospita,0.3333333333333333,0.25,Positive
1485,India,nurse practitioner christianacare hospital delaware administered first dose vaccine produced,0.3333333333333333,0.25,Positive
1570,United Kingdom,isnt william shakespeare due 2nd covid shot wheres media pfizerbiontech,0.1875,-0.0625,Negative
1612,India,singapore december 30 became first asian country begin vaccination programme pfizerbiontechs c,0.16666666666666666,0.125,Positive
1630,USA,please circulate false rumors wildly around social media online discussion groups nurse died afte,0.35555555555555557,-0.0888888888888889,Negative
1644,India,101yearold woman first germany receive pfizerbiontech vaccine coronavirus pfizerbiontech,0.3333333333333333,0.25,Positive
1811,United Kingdom,grateful working hard behind scenes bring change guidance th,0.6208333333333333,-0.3458333333333333,Negative
1867,United Kingdom,vinod_d007 peston sadly probably needed financial cost huge cost human life immeasurable,0.5,-0.02499999999999998,Negative
2049,England,first dose done second dose march 20th covid_19 pfizerbiontech vaccination,0.1111111111111111,0.08333333333333333,Positive
2051,United Kingdom,offers reassurance also upset amp angry nye gvt postponement pfizerbiontech 2nd dose beyon,0.3333333333333333,-0.13333333333333333,Negative
2091,India,pfizerbiontech vaccine first receive emergency validation since novel coronavirus outbreak beg,0.3333333333333333,0.25,Positive
2101,India,whos gift new year clears pfizerbiontech covid vaccine emergency use pfizerbiontech covid19 vacc,0.45454545454545453,0.13636363636363635,Positive
2155,Canada,welcoming 2021 exciting manner happy vaccination day part 1 grateful camhnews mghtoronto,0.9,0.55,Positive
2237,Canada,surprised shocked doctor wont getting concerned lack data,0.8500000000000001,-0.3,Negative
2249,Canada,five people ontario getting second dose pfizerbiontech vaccine course great p,0.375,0.4,Positive
2387,Canada,adriandix doesnt matter many vaccines get push 2nd dose outside parameters,0.18333333333333335,0.16666666666666666,Positive
2393,Canada,justintrudeau adriandix jjhorgan government bc willing risk peoples health millions dol,0.75,0.25,Positive
2436,United Kingdom,1st britisharmy helped nhs covid testing govuk oxford astrazeneca vaccine top,0.5,0.5,Positive
2504,United Kingdom,95 matter 70 effective mean vaccine theeconomist guardian bbcnews,0.74375,0.14375,Positive
2517,India,two dead norway received pfizers coronavirus vaccine recently coronavirusvaccine pfizervaccine,0.325,-0.1,Negative
2613,United Kingdom,read temperature data loggers developed filesthrutheair comarkglobal testolimited used ensu,0.3,0.1,Positive
2632,United Kingdom,huge planned winter rollout vaccine done using astrazeneca pfizerbiontech despite,0.9,0.4000000000000001,Positive
2654,India,pfizerbiontech vaccine appears resistant new covid variant study finds us records deadliest day,0.45454545454545453,0.13636363636363635,Positive
2701,India,pfizers coronavirus vaccine protects new variants found uk south africa study pfizerbiontech,0.45454545454545453,0.13636363636363635,Positive
2703,USA,pfizer says covid19 vaccine appears work key mutation variants first found uk south afric,0.6666666666666666,0.125,Positive
2712,India,pfizerbiontech vaccine appears effective mutation new coronavirus variants study pfizer,0.6272727272727273,0.36818181818181817,Positive
2739,Canada,evidence coronavirus vaccine work second shot comes late pfizerbiontech bc,0.3,-0.15,Negative
2758,India,real testing covidvaccine results arecoming soon covaxin covaxintrials pfizerbiontech pfizervaccine,0.30000000000000004,0.2,Positive
2761,United Kingdom,govuk ensure new covid19 variants able spread easily 2nd jab,0.35984848484848486,0.21212121212121213,Positive
2910,USA,good friend peds hemeonc doc made shes got mad crafting skills awesome momlad,0.8666666666666667,0.35833333333333334,Positive
3083,Canada,crystalmundypsy adriandix glad arent government lied hcw adhering schedule dos,1.0,0.5,Positive
3111,Canada,happy gotten first dose pfizerbiontech covid19 vaccine yesterday,0.6666666666666666,0.525,Positive
3126,United Kingdom,never excited get stabbed arm thank wilbur uclh taking much care despite slig,0.475,0.0062500000000000056,Positive
3145,United Kingdom,simple video comparing 3 covid vaccines currently available uk three covid19 vaccines,0.37857142857142856,0.2,Positive
3281,United Kingdom,day since first dose pfizer_uk covid vaccine still superpowers disappointed,0.5416666666666666,-0.25,Negative
3294,USA,covid pfizerbiontech vaccine second dose get vaccinationcovid fight covid19 thanks hospital system,0.1,0.1,Positive
3352,England,well well matthancock slippery snake country gon na end loads half vaccinated citizens ju,0.16666666666666666,-0.16666666666666666,Negative
3353,Canada,cbcpolitics interesting though group long term care home suing province quebec ar,0.45,0.225,Positive
3417,Canada,seven residents maimonides geriatrics centre côte saintluc received first dose,0.3333333333333333,0.25,Positive
3548,Canada,scc_eng hope late vaccineinjuries amp deaths caused pfizerbiontech covidvaccine pg,0.6,-0.3,Negative
3595,Canada,pfizerbiontech covidvaccine 52 per cent effective first dose second dose drags ef,0.37777777777777777,0.2833333333333333,Positive
3732,Canada,breaking 23 people died god knows many died taking pfizervaccine around world,0.5,0.5,Positive
3926,United Kingdom,relieved received first dose pfizerbiontech covidvaccine bit overwhelmed emotional science,0.4916666666666667,0.125,Positive
3939,India,29 dead norway getting vaccinated pfizers biontech covid19 vaccine norway pfizervaccine,0.4,-0.2,Negative
3940,Canada,vaccines side effects expected dangerous 1472 listed cdcgov vaers hours,0.65,-0.35,Negative
4079,United Kingdom,looks like vaccine job covid cant exactly says tin pfizerbiontech,0.25,0.25,Positive
4138,India,covishield vs covaxin vs modernapfizer science behind covid19 vaccines careers vaccine research,0.7,-0.4,Negative
4183,India,pfizer cancels covid19 vaccine delivery canada next week indiablooms first portal digital news manag,0.1111111111111111,0.08333333333333333,Positive
4189,Canada,fordnation reached pfizer joebiden right thingpfizerbiontech vaccine canada,0.5357142857142857,0.2857142857142857,Positive
4204,United Kingdom,lady human first covid19 vaccine right thing whoknows sake j,0.32301587301587303,0.17857142857142858,Positive
4391,India,inks deal delivery pfizerbiontech vaccines poor countries coronavirus coronavaccine,0.6,-0.4,Negative
4781,Canada,axios oh moderna one tested 45 ppl pfizerbiontech mrna experimental vaccines,0.4,0.1,Positive
4782,Canada,torontostar kenyonwallace fake covidvaccine takers,1.0,-0.5,Negative
4813,United Kingdom,fair criticise ukgov management covid19 acknowledge ahead game,0.65,0.14999999999999997,Positive
4819,United Kingdom,first follow covid19 vaccination booked first 4th feb follow 22nd april thank,0.3333333333333333,0.25,Positive
4833,Canada,reuters_health astrazenecas covid19 vaccine say error caught ppl didnt expected high,0.47,0.03,Positive
4959,United Kingdom,ive first pfizerbiontech vaccine worry whether 2nd given eus attitude id certa,0.16666666666666666,0.125,Positive
5016,United Kingdom,reporting season next week vaccine major players following week newbies wil,0.19999999999999998,0.020833333333333332,Positive
5056,United Kingdom,bbchardtalk tonight doctorsoumya ho need move quickly virus continually mutates amp spreads peop,0.5,0.3333333333333333,Positive
5136,USA,today igottheshot pfizerbiontech absolutely side effects far,0.95,0.15000000000000002,Positive
5137,Canada,far 1000987 doses administered canada far 129664 canadians received second dos,0.6666666666666666,0.06666666666666667,Positive
5223,United Kingdom,1st pfizer vaccination done newcastleraces extremely well organised thank borisjohnson,1.0,-0.125,Negative
5252,India,panel noted several serious adverse events case pfizerbiontech vaccine,0.3333333333333333,-0.16666666666666666,Negative
